MONTH,BOROUGH,BOROUGH_ID,COMMUNITYDISTRICT,BORO_CD,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED
2021 / 06,Manhattan,1,03,103,3017.9,403.8,318.2
2021 / 06,Manhattan,1,04,104,2492.7,514.2,367.9
2021 / 06,Manhattan,1,05,105,1315.1,319.8,190.9
2021 / 06,Manhattan,1,06,106,2877.2,551.6,378.8
2021 / 06,Manhattan,1,07,107,4783.4,1057.1,741.5
2021 / 06,Manhattan,1,08,108,5025.8,1129.1,743.6
2021 / 06,Manhattan,1,09,109,2377.2,261.4,261.9
2021 / 06,Manhattan,1,10,110,2939.2,296.3,280.1
2021 / 06,Manhattan,1,11,111,2485.1,258.9,209.1
2021 / 06,Manhattan,1,12,112,5257.8,511.8,547.1
2021 / 06,Bronx,2,01,201,2415,172.2,176.4
2021 / 06,Bronx,2,02,202,1731.7,113.9,152.6
2021 / 06,Bronx,2,03,203,2405.5,190.4,244.3
2021 / 06,Bronx,2,04,204,4422.1,342.5,420.5
2021 / 06,Bronx,2,05,205,3809.7,299,417
2021 / 06,Bronx,2,06,206,2651.9,261.6,300
2021 / 06,Bronx,2,07,207,4055.1,386.8,597.4
2021 / 06,Bronx,2,08,208,2682.3,371.8,421.5
2021 / 06,Bronx,2,09,209,4345.4,276.2,428.2
2021 / 06,Bronx,2,10,210,3086,330.8,433.3
2021 / 06,Bronx,2,11,211,3613.1,327.3,401.3
2021 / 06,Bronx,2,12,212,4864.9,434.9,678.8
2021 / 06,Brooklyn,3,01,301,5909.5,760.7,579.7
2021 / 06,Brooklyn,3,02,302,2851.5,569.1,453.1
2021 / 06,Brooklyn,3,03,303,4934.2,542.3,484.6
2021 / 06,Brooklyn,3,04,304,3877.5,327.8,420.3
2021 / 06,Brooklyn,3,05,305,5684.1,341.4,528.6
2021 / 06,Brooklyn,3,06,306,2506.7,581.2,437.1
2021 / 06,Brooklyn,3,07,307,3846.8,464.2,435.1
2021 / 06,Brooklyn,3,08,308,3114.1,401.6,363.5
2021 / 06,Brooklyn,3,09,309,3513.4,328,279.6
2021 / 06,Brooklyn,3,10,310,3908,533,496.6
2021 / 06,Brooklyn,3,11,311,5902.7,618.8,570
2021 / 06,Brooklyn,3,12,312,6877.2,684.4,390.7
2021 / 06,Brooklyn,3,13,313,2417.8,214.3,260.4
2021 / 06,Brooklyn,3,14,314,5453.9,528,464.7
2021 / 06,Brooklyn,3,15,315,5237.2,601.1,548.2
2021 / 06,Brooklyn,3,16,316,2725.9,118.7,198
2021 / 06,Brooklyn,3,17,317,5453.4,364.9,524.9
2021 / 06,Brooklyn,3,18,318,6866,623.3,717.2
2021 / 06,Queens,4,01,401,4460.3,684.6,684.9
2021 / 06,Queens,4,02,402,3505.5,493.1,439.8
2021 / 06,Queens,4,03,403,5655.1,406.2,535.9
2021 / 06,Queens,4,04,404,4647.1,379.4,676
2021 / 06,Queens,4,05,405,5657,655,785.6
2021 / 06,Queens,4,06,406,3187.8,433.9,411
2021 / 06,Queens,4,07,407,7782.1,836.2,841.6
2021 / 06,Queens,4,08,408,4328,474,437.1
2021 / 06,Queens,4,09,409,4777.7,486.3,648.8
2021 / 06,Queens,4,10,410,4743,407.8,651.9
2021 / 06,Queens,4,11,411,3598.2,495.9,493.5
2021 / 06,Queens,4,12,412,8557.8,568.9,1017.6
2021 / 06,Queens,4,13,413,7021.3,509,1058
2021 / 06,Queens,4,14,414,3850.4,273.9,307.6
2021 / 06,Staten Island,5,01,501,6633.9,683.7,876.2
2021 / 06,Staten Island,5,02,502,5203.1,573.6,697.7
2021 / 06,Staten Island,5,03,503,6995,834.7,826.5
2021 / 05,Manhattan,1,01,101,1294.2,393.6,247.8
2021 / 05,Manhattan,1,02,102,1859,450.8,315.5
2021 / 05,Manhattan,1,03,103,2666.7,367,313
2021 / 05,Manhattan,1,04,104,2251.4,505.3,385.3
2021 / 05,Manhattan,1,05,105,1219.4,267.9,172.6
2021 / 05,Manhattan,1,06,106,2654.3,536.7,399.7
2021 / 05,Manhattan,1,07,107,4305.1,1018.5,742.9
2021 / 05,Manhattan,1,08,108,4717.8,1088.8,761.3
2021 / 05,Manhattan,1,09,109,2110,263.3,275.2
2021 / 05,Manhattan,1,10,110,2617.4,261.3,259.6
2021 / 05,Manhattan,1,11,111,2217.2,214.3,194.3
2021 / 05,Manhattan,1,12,112,4586.6,463.9,501.9
2021 / 05,Bronx,2,01,201,2152.2,147.8,150.8
2021 / 05,Bronx,2,02,202,1588.2,119.1,153.8
2021 / 05,Bronx,2,03,203,2138,147.6,191.9
2021 / 05,Bronx,2,04,204,3946.4,303.5,385
2021 / 05,Bronx,2,05,205,3501.7,262.8,386
2021 / 05,Bronx,2,06,206,2321.7,206.4,231.1
2021 / 05,Bronx,2,07,207,3661,348.6,523.1
2021 / 05,Bronx,2,08,208,2389.5,313.9,379.5
2021 / 05,Bronx,2,09,209,3926.9,270.1,411.8
2021 / 05,Bronx,2,10,210,2847.4,327.7,423.4
2021 / 05,Bronx,2,11,211,3270.4,302.2,373.7
2021 / 05,Bronx,2,12,212,4260.3,371.4,610.2
2021 / 05,Brooklyn,3,01,301,5807.5,775.4,539
2021 / 05,Brooklyn,3,02,302,2587.2,518.5,427.9
2021 / 05,Brooklyn,3,03,303,4367,443.1,420.7
2021 / 05,Brooklyn,3,04,304,3453.8,292,403.1
2021 / 05,Brooklyn,3,05,305,5043.1,280.1,447.7
2021 / 05,Brooklyn,3,06,306,2242.9,538.1,426.6
2021 / 05,Brooklyn,3,07,307,3421.6,400.8,389
2021 / 05,Brooklyn,3,08,308,2670.2,311.7,298.9
2021 / 05,Brooklyn,3,09,309,3032.3,300.4,263.3
2021 / 05,Brooklyn,3,10,310,3460.6,461.7,446.8
2021 / 05,Brooklyn,3,11,311,5291.9,555.4,539
2021 / 05,Brooklyn,3,12,312,6708.4,659.2,385.6
2021 / 05,Brooklyn,3,13,313,2147.4,179.1,231.5
2021 / 05,Brooklyn,3,14,314,4887.6,470,443.8
2021 / 05,Brooklyn,3,15,315,4803.8,535.2,513.8
2021 / 05,Brooklyn,3,16,316,2390.8,118.9,193.5
2021 / 05,Brooklyn,3,17,317,4701.9,326.9,472.9
2021 / 05,Brooklyn,3,18,318,6067.6,550.4,660.9
2021 / 05,Queens,4,01,401,4072.9,593,631
2021 / 05,Queens,4,02,402,3162.5,425.6,397.7
2021 / 05,Queens,4,03,403,5124.7,367.1,503.7
2021 / 05,Queens,4,04,404,4145.9,333.2,617.1
2021 / 05,Queens,4,05,405,5140.9,581.9,738.2
2021 / 05,Queens,4,06,406,2858.5,385.7,384.6
2021 / 05,Queens,4,07,407,7012.6,752.7,783.9
2021 / 05,Queens,4,08,408,3923.6,415.7,413.7
2021 / 05,Queens,4,09,409,4335.1,419.5,605.8
2021 / 05,Queens,4,10,410,4294.1,357.3,585
2021 / 05,Queens,4,11,411,3309.8,433.7,455.1
2021 / 05,Queens,4,12,412,7684,524.8,953.1
2021 / 05,Queens,4,13,413,6376.9,444.7,965.7
2021 / 05,Queens,4,14,414,3419,254.8,300.2
2021 / 05,Staten Island,5,01,501,5983.9,596.2,786.4
2021 / 05,Staten Island,5,02,502,4751.9,511.2,644.9
2021 / 05,Staten Island,5,03,503,6586.2,750.1,784.7
2021 / 04,Manhattan,1,01,101,1250.6,413,273.4
2021 / 04,Manhattan,1,02,102,1826.6,438.8,310.4
2021 / 04,Manhattan,1,03,103,2716.2,378.6,328.8
2021 / 04,Manhattan,1,04,104,2226.8,526,425.2
2021 / 04,Manhattan,1,05,105,1200.9,289,184.2
2021 / 04,Manhattan,1,06,106,2606.9,584,443.8
2021 / 04,Manhattan,1,07,107,4277,1031.1,777.6
2021 / 04,Manhattan,1,08,108,4566.1,1089.7,766.2
2021 / 04,Manhattan,1,09,109,2111.7,274.1,291.4
2021 / 04,Manhattan,1,10,110,2667.2,304.7,286.8
2021 / 04,Manhattan,1,11,111,2250,205.3,189.6
2021 / 04,Manhattan,1,12,112,4742.4,501.7,541.5
2021 / 04,Bronx,2,01,201,2236.8,168.5,166.3
2021 / 04,Bronx,2,02,202,1642.9,156.9,193
2021 / 04,Bronx,2,03,203,2187.1,159.2,192.4
2021 / 04,Bronx,2,04,204,4051.9,308.2,391.5
2021 / 04,Bronx,2,05,205,3527.2,258.3,379.7
2021 / 04,Bronx,2,06,206,2368.4,213.1,231.4
2021 / 04,Bronx,2,07,207,3716.7,374.7,570.9
2021 / 04,Bronx,2,08,208,2411.2,320.8,388.4
2021 / 04,Bronx,2,09,209,3941.4,282.1,429
2021 / 04,Bronx,2,10,210,2800.2,346.9,427.2
2021 / 04,Bronx,2,11,211,3304.4,332.3,387.7
2021 / 04,Bronx,2,12,212,4213.6,412.3,638.4
2021 / 04,Brooklyn,3,01,301,5864.9,828.5,581
2021 / 04,Brooklyn,3,02,302,2542.2,532.3,429.4
2021 / 04,Brooklyn,3,03,303,4474.4,466,436.6
2021 / 04,Brooklyn,3,04,304,3449.7,318.1,420.9
2021 / 04,Brooklyn,3,05,305,5067.5,310.4,492.7
2021 / 04,Brooklyn,3,06,306,2279.5,568.7,458.5
2021 / 04,Brooklyn,3,07,307,3389.8,405.1,414.5
2021 / 04,Brooklyn,3,08,308,2728.8,347.8,322.9
2021 / 04,Brooklyn,3,09,309,3027.2,329,288.6
2021 / 04,Brooklyn,3,10,310,3553,488.9,473
2021 / 04,Brooklyn,3,11,311,5246.9,579.4,576.3
2021 / 04,Brooklyn,3,12,312,6729.3,752.6,431.2
2021 / 04,Brooklyn,3,13,313,2146.4,205.7,257.4
2021 / 04,Brooklyn,3,14,314,4944,492,453.7
2021 / 04,Brooklyn,3,15,315,4730.9,556.7,528.6
2021 / 04,Brooklyn,3,16,316,2465.1,133.8,198.9
2021 / 04,Brooklyn,3,17,317,4661.7,350.5,499.6
2021 / 04,Brooklyn,3,18,318,5907.3,581,677.1
2021 / 04,Queens,4,01,401,4092.1,629.9,652.4
2021 / 04,Queens,4,02,402,3166.6,444.2,427.8
2021 / 04,Queens,4,03,403,5218.1,400.6,540.5
2021 / 04,Queens,4,04,404,4180.4,353.5,644.5
2021 / 04,Queens,4,05,405,5187.4,625.1,794.3
2021 / 04,Queens,4,06,406,2845.7,410.2,424.1
2021 / 04,Queens,4,07,407,6887.6,775.6,813
2021 / 04,Queens,4,08,408,3848.5,445,436.9
2021 / 04,Queens,4,09,409,4269.8,424.6,626
2021 / 04,Queens,4,10,410,4129.6,354.2,615.5
2021 / 04,Queens,4,11,411,3190.4,453.3,472.9
2021 / 04,Queens,4,12,412,7389.6,546.4,962.2
2021 / 04,Queens,4,13,413,5923.4,458.9,968.7
2021 / 04,Queens,4,14,414,3306.7,268.8,327.5
2021 / 04,Staten Island,5,01,501,5917.2,642.9,808.3
2021 / 04,Staten Island,5,02,502,4633.8,546.5,654.1
2021 / 04,Staten Island,5,03,503,6330,801.7,803.6
2021 / 03,Manhattan,1,01,101,1297.1,363.6,240.1
2021 / 03,Manhattan,1,02,102,1918.7,479.4,345.6
2021 / 03,Manhattan,1,03,103,2870.2,363.5,322.4
2021 / 03,Manhattan,1,04,104,2308.8,454,384.5
2021 / 03,Manhattan,1,05,105,1243,288.3,198.3
2021 / 03,Manhattan,1,06,106,2721.4,501.2,391.6
2021 / 03,Manhattan,1,07,107,4539.3,1005.4,772.6
2021 / 03,Manhattan,1,08,108,4723.3,1059.9,776.1
2021 / 03,Manhattan,1,09,109,2230.2,244.4,262.4
2021 / 03,Manhattan,1,10,110,2807.6,296.1,285.3
2021 / 03,Manhattan,1,11,111,2288.5,240.2,220
